Localidades	Personas	Arriendo 	Deficit	Seguridad	Internet 	Acueducto 	Alcantarillado	Basuras	Gas	Electricidad	Salud 	Pobreza	Multidimensional	Transmilenio	Despalazmientos
Usaquen	2.6	36.9	1.8	43.0	83.0	100	100	99.9	91.8	100	94.4	2.2	2.6	24.9	43
Suba	2.9	41.6	2.7	52.5	74.8	100	99.7	99.9	95.5	100	94.3	3.3	3.2	35.1	48
Engativa	3.1	42.4	4.7	65.2	76.5	100	100	99.9	94.2	100	93.6	3.1	2.7	33.3	45
Barrios_Unidos	2.7	44.4	6.2	48.8	79.2	100	100	100	88.5	100	94.6	2.0	2.4	26.3	32
Fontibon 	2.9	40.5	2.2	56.6	76.2	100	100	100	94.8	100	94.6	3.6	4.9	19.0	42
Kennedy 	3.1	48.2	3.1	69.1	63.2	100	100	99.9	98.1	99.9	92.3	4.8	5.0	29.6	46
Teusaquillo	2.4	37.5	1.9	48.7	90.9	100	100	100	88.6	100	96.6	0.4	0.6	20.2	30
Puente_Aranda	2.9	47.5	2.9	64.7	72.1	100	100	100	95.2	100	92.6	2.8	2.7	23.7	38
Martires	2.7	52.1	5.6	86.8	64.4	100	100	100	94.4	100	91.7	3.1	3.1	29.4	29
Antonio_Nariño	3.2	43.5	2.5	72.5	74.3	100	100	99.8	96.0	100	89.0	2.9	2.6	41.6	36
Chapinero	2.1	42.2	3.5	37.0	87.1	99.9	99.6	99.5	80.0	100	95.7	1.1	2.2	17.2	29
Santa_Fe	2.5	51.7	8.2	68.3	58.7	100	99.7	99.6	81.6	99.8	91.7	6.3	6.6	30.4	34
Candelaria	2.2	48.1	7.7	62.6	68.7	100	100	99.1	60.4	99.7	92.8	3.4	3.4	27.5	30
San_Cristobal	3.2	43.4	9.7	73.2	51.2	99.8	99.8	99.7	95.1	100	92.6	6.8	7.8	47.0	53
Usme	3.4	47.1	7.8	78.2	43.3	99.6	99.1	98.8	97.4	99.7	91.3	8.9	10.9	53.1	60
Rafel_Uribe	3.1	51.5	9.8	79.0	51.1	100	99.7	99.6	97.0	99.9	92.9	6.5	6.8	45.8	48
Tunjuelito 	2.9	58.5	8.5	77.8	60.1	100	100	100	98.2	100	91.6	4.7	5.0	33.9	45
Bosa	3.3	45.1	3.8	74.9	49.4	100	100	100	98.2	100	92.1	6.0	5.3	36.8	60
Ciudad_Bolivar	3.2	47.3	7.6	78.7	55.1	99.7	99.6	99.0	97.7	99.8	91.2	8.7	8.9	36.3	57
